ZONE,AREA,CLINIC CODE,CLINIC,ADDRESS,POSTAL,TEL,FAX,OPERATING HOURS MON - FRI,SAT,SUN,PUBLIC HOLIDAY,REMARKS
CENTRAL-NORTH,ANG MO KIO,SGP000392,YIO CHU KANG MRT CLINIC PTE LTD,BLK 635 ANG MO KIO AVENUE 6 #01-5125,560635,64598278,64590891,"8.30AM-12.30PM,
2.00PM-3.30PM,
5.30PM-8.30PM",8.00AM-12.30PM,CLOSED,CLOSED,PATIENTS TO BE REGISTERED 15 MINS BEFORE CLOSING.
CENTRAL-NORTH,ANG MO KIO,SGP000586,FRONTIER MEDICAL ASSOCIATES (AMK),BLK 163 ANG MO KIO AVENUE 4 #01-426,560163,64532571,64548425,"8.30AM-4.30PM,
6.30PM-9.30PM (CLOSED ON TUE & FRI NIGHT)",8.30AM-1.00PM,8.30AM-1.00PM,CLOSED,"IF PH FALLS ON SUN,
CLINIC WILL OPEN ON SUN & CLOSE ON FOLLOWING MON."
CENTRAL-NORTH,ANG MO KIO,SGP000005,AMK FAMILY CLINIC PTE LTD,51 ANG MO KIO AVENUE 3 #01-01,569922,64544204,64538327,"MON-TUE: 8.30AM-
3.00PM, 6.00PM-
10.00PM  WED:
9.00AM-2.00PM,
6.00PM-10.00PM THURS: 9.00AM- 2.00PM, 7.00PM-
10.00PM  FRI: 8.30AM-
3.00PM, 7.00PM-
10.00PM","9.00AM-12.00PM,
2.00PM-5.00PM,
6.00PM-10.00 PM",2.00PM-7.00PM,SELECTED,LAST REGISTRATION HALF HOUR BEFORE CLOSING.
CENTRAL-NORTH,ANG MO KIO,SGP000138,HEALTHLINK (AMK) MEDICAL CENTRE PTE LTD,BLK 108 ANG MO KIO AVENUE 4 #01-86,560108,64571636,64563605,"8.45AM-12.30PM,
2.00PM-4.30PM,
6.45PM-8.30PM (CLOSED ON TUES &
THURS EVENINGS)",8.45AM-12.00PM,8.45AM-12.00PM,CLOSED,LAST REGISTRATION IS 30 MINS BEFORE CLOSING TIME.
CENTRAL-NORTH,ANG MO KIO,SGP000673,KI MEDICAL CLINIC PTE LTD,BLK 416 ANG MO KIO AVENUE 10 #01-975,560416,64554475,64554475,"8.00AM-12.30PM,
2.30PM-4.30PM,
6.00PM-9.00PM (CLOSED ON FRIDAY AFTERNOONS)","8.00AM-12.00PM,
6.00PM-8.30PM","8.00AM-12.00PM,
6.00PM-8.30PM",8.00AM-12.00PM (SELECTED PH ONLY; CALL PRIOR TO VISIT),LAST REGISTRATION IS 30 MINS BEFORE END OF EACH SESSION.
CENTRAL-NORTH,ANG MO KIO,SGP000367,TONG CLINIC & SURGERY,BLK 316B ANG MO KIO STREET 31 #01-05,563316,64528311,64528311,"8.30AM-12.15PM,
2.00PM-4.15PM,
7.00PM-8.45PM (CLOSED ON WED NIGHT)",8.30AM-12.15PM,8.30AM-12.15PM,CLOSED,"TEMPORARY
CLOSURE FROM 24-
28 AUGUST 2016. INCONVENIENCE IS REGRETTED."
CENTRAL,BALESTIER,SGP000739,ACCESS MEDICAL (WHAMPOA),87 WHAMPOA DRIVE #01-869,320087,62521070,67107327,"7.00AM-1.00PM,
6.00PM-12.00MN","7.00AM-1.00PM,
6.00PM-12.00MN","7.00AM-1.00PM,
6.00PM-12.00MN","7.00AM-1.00PM,
6.00PM-12.00MN",
CENTRAL,BALESTIER,SGP000763,PROVIDENCE CLINIC @ BALESTIER,400 BALESTIER PLAZA BALESTIER ROAD #01-45,329802,62550063,62550063,"8.30AM-4.00PM,
6.00PM-9.00PM (CLOSED ON TUESDAY
& FRIDAY EVENINGS)",8.30AM-1.00PM,5.00PM-8.00PM,CLOSED,
EAST,BEDOK,SGP000004,ALLIANCE CLINIC & PARTNERS PTE LTD,BLK 652 JALAN TENAGA #01-50,410652,68469585,68423821,"8.30AM-12.30PM,
2.00PM-4.30PM,
7.00PM-9.00PM (CLOSED ON FRI EVENING)",8.30AM-12.30PM,8.30AM-12.30PM,9.00AM-12.00PM,
EAST,BEDOK,SGP000014,BEDOK CLINIC & SURGERY,BLK 17 BEDOK SOUTH ROAD #01-565,460017,62410943,64420966,"9.00AM-12.30PM,
2.30PM-4.30PM,
7.00PM-9.00PM",9.00AM-12.30PM,9.00AM-12.30PM,CLOSED,
EAST,BEDOK,SGP000199,LEE CLINIC,BLK 123 BEDOK NORTH STREET 2 #01-156,460123,62418827,62414724,"9.00AM-12.30PM,
2.30PM-5.00PM",9.00AM-12.30PM,9.00AM-12.00PM,9.00AM-12.00PM,
EAST,BEDOK,SGP000284,FRONTIER PEOPLE'S CLINIC,BLK 123 BEDOK NORTH STREET 2 #01-152,460123,64430261,64453185,"8.30AM-12.30PM, 1.30-
5.30PM, 6.00PM-
9.00PM (CLOSE TUE & FRI EVENINGS)",8.30AM-12.30PM,8.30AM-12.30PM,CLOSED,
EAST,BEDOK,SGP000015,BEDOK FAMILY CLINIC & SURGERY,BLK 218 BEDOK NORTH STREET 1 #01-17,460218,64410236,64410276,"8.00AM-12.45PM,
2.00PM-4.45PM,
6.00PM-11.45PM","8.00AM-12.45PM,
2.00PM-4.45PM,
6.00PM-11.45PM","8.00AM-12.45PM,
2.00PM-4.45PM,
6.00PM-11.45PM","8.00AM-12.45PM,
2.00PM-4.45PM,
6.00PM-11.45PM",
EAST,BEDOK,SGP000165,HONG WHYE CLINIC,BLK 412 BEDOK NORTH AVENUE 2 #01-144,460412,64445355,64416270,"9.00AM-12.30PM
2.00PM-4.30PM
7.00PM-9.00PM","9.00AM-12.30PM
2.00PM-4.30PM",9.00AM-12.30PM,9.00AM-12.30PM,
EAST,BEDOK,SGP000719,BEDOK DAY & NIGHT CLINIC,BLK 418 BEDOK NORTH AVENUE 2 #01-85,460418,64441104,64441104,"MON/TUE/THU: 9.00AM-12.30PM,
1.30PM-3.30PM,
6.30PM-9.30PM WED:
9.00AM-12.30PM,
6.30PM-9.30PM FRI:
9.00AM-12.30PM,
6.30PM-8.30PM",9.00AM-12.30PM,"9.30AM-12.30PM,
6.30PM-8.30PM",9.30AM-12.30PM,
EAST,BEDOK,SGP000182,KCS MEDICAL CENTRE PTE LTD,BLK 515 BEDOK NORTH AVENUE 2 #01-205,460515,64438322,64418322,"8.30AM-2.00PM,
7.00PM-9.00PM",8.30AM-12.30PM,CLOSED,CLOSED,
EAST,BEDOK,SGP000302,S T MEDICAL CLINIC,BLK 531 BEDOK NORTH STREET 3 #01-694,460531,64440159,64440159,"8.30AM-1.00PM,
2.00PM-4.00PM,
7.00PM-9.00PM (CLOSED ON TUE AFTERNOONS, WED & FRI NIGHTS)",8.30AM-11.45AM,9.30AM-11.45AM,9.30AM-12.00PM,
EAST,BEDOK,SGP000183,KHO CLINIC,BLK 537 BEDOK NORTH STREET 3 #01-519,460537,62428266,62432614,"8.30AM-12.30PM,
2.00PM-5.00PM,
7.00PM-9.00PM (CLOSED ON THUR AFTERNOONS & EVENINGS)",8.30AM-12.30PM,8.30AM-12.30PM,CLOSED,
EAST,BEDOK,SGP000635,ACCESS MEDICAL BEDOK SOUTH,59 NEW UPPER CHANGI ROAD #01-1268,461059,64453100,64453200,"7.00AM-1.00PM,
6.00PM-12.00AM","7.00AM-1.00PM,
6.00PM-12.00AM","7.00AM-1.00PM,
6.00PM-12.00AM","7.00AM-1.00PM,
6.00PM-12.00AM",
EAST,BEDOK,SGP000173,ISLAND GROUP CLINIC BEDOK,BLK 25 NEW UPPER CHANGI ROAD #01-646,462025,62416666,62416102,"9.00AM-12.00PM,
2.00PM-4.30PM,
7.00PM-8.30PM",9.00AM-11.00AM,9.00AM-11.00AM,CLOSED,
EAST,BEDOK,SGP000386,WONG FAMILY CLINIC & SURGERY,BLK 117 BEDOK RESERVOIR ROAD #01-68,470117,68461613,68486925,"8.30AM-12.15PM,
2.00PM-4.45PM,
7.00PM-9.45PM
(CLOSED ON FRI AFTERNOONS)",8.30AM-12.15PM,CLOSED,CLOSED,
EAST,BEDOK,SGP000339,TEMASEK MEDICAL CLINIC,BLK 86 BEDOK NORTH STREET 4 #01-177,460086,64430949,64430949,"8.30AM-12.30PM,
2.00PM-4.00PM,
7.00PM-9.00PM",8.30AM-12.30PM,CLOSED,CLOSED,CLOSED ON FRI AFTERNOONS
EAST,BEDOK,SGP000502,RESERVOIR ROAD CLINIC & SURGERY,BLK 704 BEDOK RESERVOIR ROAD #01-3622,470704,64490289,64490523,"8.30AM-12.30PM
2.00PM-4.30PM
7.00PM-9.00PM",8.30AM-12.30PM,8.30AM-12.30PM,CLOSED,Closed on Fri nights
EAST,BEDOK,SGP000438,BEDOK CENTRAL CLINIC PTE LTD,BLK 214 BEDOK NORTH STREET 1 #01-161,460214,62424489,62418679,"9.00AM-2.00PM,
5.30PM-9.00PM",9.00AM-1.00PM,CLOSED,CLOSED,"LAST REGISTRATION
30 MINS BEFORE CLOSING."
EAST,BEDOK,SGP000177,JOY FAMILY CLINIC,BLK 703 BEDOK RESERVOIR ROAD #01-3506,470703,64422483,64428613,"MON, WED, FRI:
9.00AM-1.00PM,
2.00PM-4.00PM  TUE
& THURS: 9.00AM- 1.00PM, 6.30PM-
8.30PM",CLOSED,CLOSED,CLOSED,PATIENT TO ARRIVE AT LEAST 15MINS BEFORE CLOSING.
EAST,BEDOK,SGP000454,CLINIC FARIDAH,BLK 59 NEW UPPER CHANGI ROAD #01-1230,461059,64427480,64427480,"8.30AM-11.00AM,
2.00PM-3.00PM",8.30AM-11.00AM,CLOSED,CLOSED,
EAST,BEDOK,SGP000285,PHOON CLINIC & SURGERY,BLK 632 BEDOK RESERVOIR ROAD #01-828,470632,64452119,64487329,"9.00AM-12.00PM,
2.00PM-4.00PM,
7.00PM-8.30PM","9.00AM-12.00PM,
2.00PM-4.00PM",9.00AM-11.30AM,9.00AM-11.30AM,
EAST,BEDOK,SGP000451,PAN ISLAND CLINIC & SURGERY,BLK 632 BEDOK RESERVOIR ROAD #01-804,470632,64453747,64491098,"9.30AM-12.30PM,
2.30PM-4.30PM,
7.00PM-9.00PM",9.30AM-12.30PM,9.30AM-12.00PM,9.30AM-12.00PM,
CITY,BENCOOLEN ROAD,SGP000675,DR TAN AND PARTNERS,180 BENCOOLEN STREET #02-20,189646,68844119,68844187,9.00AM-5.00PM,CLOSED,9.00AM-1.00PM,CLOSED,
CENTRAL-EAST,BENDEMEER,SGP000280,PARIQUA CLINIC,BLK 47 BENDEMEER ROAD #01-1463,330047,62921351,62921351,"8.30AM-12.00PM,
2.00PM-4.30PM,
7.00PM-9.00PM",8.30AM-12.00PM,CLOSED,CLOSED,
CENTRAL-NORTH,BISHAN,SGP000330,TAN'S T&T CLINIC AND SURGERY,BLK 152 BISHAN STREET 11 #01-213,570152,63531133,,"MON & THURS:
8.30AM-12.30PM,
2.00PM-4.30PM, TUES:
8.30AM-12.30PM,
2.00PM-4.30PM,
7.00PM-9.00PM, WED
& FRI: 8.30AM- 12.30PM",8.30AM-12.30PM,9.00AM-12.00PM,CLOSED,
CENTRAL-NORTH,BISHAN,SGP000009,ASPEN CLINIC,BLK 283 BISHAN STREET 22 #01-185,570283,64553829,64567217,"9.00AM-12.30PM,
2.00PM-4.30PM,
7.00PM-9.00PM
(CLOSED TUE & FRI NIGHT)",9.00AM-12.30PM,CLOSED,CLOSED,
CENTRAL-NORTH,BISHAN,SGP000178,RADLINK MEDICARE (BISHAN) PTE LTD,BLK 503 BISHAN STREET 11 #01-464,570503,62557545,63582830,"9.00AM-1.00PM,
2.00PM-4.30PM,
7.30PM-9.30PM (CLOSED ON FRI EVENING)",9.00AM-1.00PM,9.00AM-12.00PM,CLOSED,PATIENT TO ARRIVE AT LEAST 15MINS BEFORE CLOSING.
CENTRAL-EAST,BOON KENG,SGP000608,THE FAMILY CLINIC @ TOWNER,BLK 101 TOWNER ROAD #01-202,322101,62950995,62950997,"8.30AM-1.00PM,
6.00PM-9.00PM",8.30AM-12.00PM,CLOSED,CLOSED,
CENTRAL-EAST,BOON KENG,SGP000326,TAN-TEOH CLINIC & SURGERY,BLK 101 TOWNER ROAD #01-216,322101,62992292,62995662,"8.30AM-12.30PM
2.00PM-6.00PM
7.00PM-9.00PM","8.30AM-12.30PM
2.00PM-4.00PM",8.30AM-12.00PM,8.30AM-12.00PM,"Patient to arrive at
least 15 mins before closing"
WEST,BOON LAY,SGP000512,POINT MEDICAL GROUP (TAMAN JURONG),BLK 399 YUNG SHENG ROAD #01-31,610399,62656587,62680424,"8.30AM-12.30PM,
2.30PM-5.30PM,
6.30PM-8.30PM",8.30AM-1.00PM,CLOSED,CLOSED,
WEST,BOON LAY,SGP000699,PIONEER MEDICARE,3 PIONEER JUNCTION SOON LEE STREET #01-08,627606,63397422,63397427,"8.00AM-1.00PM,
2.00PM-6.00PM",8.00AM-1.00PM,CLOSED,CLOSED,
WEST,BOON LAY,SGP000058,COMMUNITY MEDICAL CLINIC,"BLK 221 BOON LAY SHOPPING CENTRE BOON LAY PLACE
#02-160",640221,62610672,62610672,"8.30AM-11.30AM,
1.30PM-4.00PM,
5.00PM-7.00PM",8.30AM-11.00AM,8.30AM-11.00AM,CLOSED,
WEST,BOON LAY,SGP000023,BOON LAY CLINIC & SURGERY,"BLK 221 BOON LAY SHOPPING CENTRE BOON LAY PLACE
#01-240/244",640221,62655247,62680866,"9.00AM-12.30PM,
2.00PM-5.00PM,
7.00PM-9.00PM",9.00AM-12.30PM,9.00AM-12.30PM,9.00AM-12.30PM,
WEST,BOON LAY,SGP000664,BLESS MEDICAL CENTRE,"BLK 221 BOON LAY SHOPPING CENTRE BOON LAY PLACE
#01-108",640221,62664119,62667855,8.00AM-9.30PM,8.00AM-9.30PM,CLOSED,CLOSED,
WEST,BOON LAY,SGP000694,MY DOCTOR @ LAKESIDE,BLK 201 LAKESIDE MRT STATION BOON LAY WAY #01-05,649845,62657270,62652170,"8.30AM-12.30PM,
1.30PM-5.00PM,
6.00PM-8.30PM (CLOSED ON FRI NIGHT)","8.30AM-12.30PM,
1.30PM-5.00PM",CLOSED,CLOSED,
WEST,BOON LAY,SGP000475,FULLERTON HEALTHCARE GROUP @ NTU,36 NANYANG AVENUE #01-01,639801,67936828,67936338,"8.30AM-9.00PM
2.00PM-5.00PM",9.30AM-12.00PM,CLOSED,CLOSED,LAST REGISTRATION HALF HOURS BEFORE CLOSING TIME.
WEST,BOON LAY,SGP000712,ONECARE CLINIC BOON LAY,"221 BOON LAY SHOPPING CENTRE BOON LAY PLACE #01-
152",640221,62611580,62611584,"8.00AM-4.00PM,
5.00PM-10.00PM","8.00AM-4.00PM,
5.00PM-10.00PM","8.00AM-4.00PM,
5.00PM-10.00PM","8.00AM-4.00PM,
5.00PM-10.00PM","LAST REGISTRATION
IS 20 MINS BEFORE CLOSING."
NORTH-EAST,BUANGKOK,SGP000708,SHENTON MEDICAL GROUP (BUANGKOK),10 BUANGKOK BUILDING NEL MRT STATION SENGKANG CENTRAL #01-04,545061,63153671,63158190,"8.30AM-1.00PM,
2.00PM-5.30PM,
6.30PM-9.00PM (CLOSED ON FRI NIGHT)",8.30AM-12.30PM,8.30AM-12.30PM,CLOSED,
NORTH-EAST,BUANGKOK,SGP000771,HEALTHMARK FAMILY CLINIC (WATERWAY),BLK 671 EDGEFIELD PLAINS #02-04,820671,63849632,63849645,"8.30AM-2.00PM,
7.00PM-9.30PM (CLOSED ON WEDNESDAY NIGHTS)",CLOSED,9.00AM-1.00PM,CLOSED,
CITY,BUGIS,SGP000184,KHOO FAMILY CLINIC & SURGERY,BLK 2 BEACH ROAD #01-4781,190002,62955955,62955955,"8.30AM-12.30PM
2.00PM-4.00PM
6.30PM-9.00PM",8.30AM-12.30PM,9.00AM-12.00PM,CLOSED,
CITY,BUGIS,SGP000129,HALE MEDICAL CLINIC (CONCOURSE) PTE LTD,300 THE CONCOURSE BEACH ROAD #02-01B,199555,62944877,62995505,"9.00AM-12.45PM,
2.00PM-5.30PM",CLOSED,CLOSED,CLOSED,
CITY,BUGIS,SGP000055,CITYHEALTH CLINIC & SURGERY,152 GATEWAY EAST BEACH ROAD #03-08,189721,62995398,62990206,"8.30AM-12.30PM,
2.00PM-5.00PM",CLOSED,CLOSED,CLOSED,"- TEMPORARY
CLOSURE FOR
RENOVATION FROM 9-28 AUGUST 2016."
NORTH-WEST,BUKIT BATOK,SGP000441,UNIVERSAL MEDICAL CLINIC,BLK 164 BUKIT BATOK STREET 11 #01-144,650164,65639955,65639956,"8.30AM-2.00PM,
6.30PM-8.30PM (CLOSED ON TUE, THURS & FRI NIGHTS)",8.30AM-12.30PM,CLOSED,CLOSED,
NORTH-WEST,BUKIT BATOK,SGP000026,BUKIT BATOK MEDICAL CLINIC,BLK 207 BUKIT BATOK STREET 21 #01-114,650207,65603311,65692400,"9.00AM-12.30PM,
2.00PM-4.30PM,
7.00PM-9.00PM (CLOSED ON WED NIGHTS)",9.00AM-12.30PM,9.00AM-12.00PM,CLOSED,
NORTH-WEST,BUKIT BATOK,SGP000317,STARCARE CLINIC & SURGERY PTE LTD,BLK 207 BUKIT BATOK STREET 21 #01-108,650207,65616878,65617698,"8.30AM-12.00PM,
2.00PM-4.00PM,
7.30PM-10.00PM (CLOSED ON WED AFTERNOONS AND NIGHTS)",8.30AM-12.00PM,CLOSED,CLOSED,
NORTH-WEST,BUKIT BATOK,SGP000498,ONG CLINIC & SURGERY PTE LTD,BLK 265 BUKIT BATOK EAST AVENUE 4 #01-387,650265,67695704,65623514,"9.00AM-12.00PM
2.00PM-5.00PM",9.00AM-12.00PM,9.00AM-12.00PM,CLOSED,
NORTH-WEST,BUKIT BATOK,SGP000455,GOH CLINIC & SURGERY,BLK 283 BUKIT BATOK EAST AVENUE 3 #01-271,650283,65676368,65672535,"8.30AM-12.30PM,
2.00PM-4.30PM",8.30AM-12.30PM,CLOSED,CLOSED,
NORTH-WEST,BUKIT BATOK,SGP000186,KHOR CLINIC & SURGERY,BLK 424 BUKIT BATOK WEST AVENUE 2 #01-237,650424,65631285,65617221,"8.30AM-12.00PM,
1.00PM-3.00PM,
7.00PM-8.30PM",8.30AM-12.00PM,CLOSED,9.00AM-12.00PM,
NORTH-WEST,BUKIT BATOK,SGP000541,FRONTIER MEDICAL ASSOCIATES,BLK 528 BUKIT BATOK STREET 51 #01-64,650528,65665773,65665747,8.30AM-12.00PM,8.30AM-12.30PM,CLOSED,CLOSED,
NORTH-WEST,BUKIT BATOK,SGP000735,ONECARE CLINIC BUKIT BATOK,BLK 630 BUKIT BATOK CENTRAL #01-148,650630,65636913,65636973,"8.00AM-4.00PM,
5.00PM-10.00PM","8.00AM-4.00PM,
5.00PM-10.00PM","8.00AM-4.00PM,
5.00PM-10.00PM","8.00AM-4.00PM,
5.00PM-10.00PM",
NORTH-WEST,BUKIT BATOK,SGP000336,TEMASEK MEDICAL CENTRE,BLK 413 BUKIT BATOK WEST AVENUE 4 #01-214,650413,65656556,65665483,"8.30AM-1.00PM
2.00PM-5.00PM",8.30AM-12.30PM,CLOSED,CLOSED,"LAST REGISTRATION
15 MINS BEFORE CLOSING TIME."
NORTH-WEST,BUKIT BATOK,SGP000489,KANG AN CLINIC PTE LTD,BLK 644 BUKIT BATOK CENTRAL #01-70,650644,65664856,65664856,"8.30AM-12.45PM,
2.00PM-4.45PM,
7.00PM-9.00PM",8.30AM-12.30PM,9.00AM-12.30PM,CLOSED,"LAST REGISTRATION
15MINS BEFORE CLOSING TIME."
NORTH-WEST,BUKIT BATOK,SGP000654,HISEMAINN MEDICAL CLINIC (BUKIT BATOK),289E BUKIT BATOK STREET 25 #01-160,654289,65691375,65667565,"8.30AM-3.00PM,
6.30PM-9.30PM",8.30AM-1.00PM,CLOSED,CLOSED,"LAST REGISTRATION
IS 10 MINS BEFORE CLOSING TIME."
NORTH-WEST,BUKIT BATOK,SGP000696,PHOENIX MEDICAL GROUP,4 HILLV2 HILLVIEW RISE #02-20,667979,67107157,67107167,"9.00AM-2.00PM, 6.00-
9.00PM (CLOSED ON TUES & FRI EVENINGS)",9.00AM-12.00PM,2.00PM-9.00PM,CLOSED,"LAST REGISTRATION
IS 15 MINS BEFORE CLOSING."
NORTH-WEST,BUKIT BATOK,SGP000211,LIFELINE NEIGHBOURHOOD MEDICAL CLINIC PTE LTD,BLK 280 BUKIT BATOK EAST AVENUE 3 #01-333,650280,65678316,65678316,"9.00AM-12.30PM,
2.00PM-4.00PM,
6.30PM-8.30PM (CLOSED ON FRI AFTERNOON)",9.00AM-12.00PM,9.00AM-12.00PM,9.00AM-12.00PM,PLEASE CALL TO CONFIRM IF THE CLINIC IS OPENED ON PUBLIC HOLIDAYS.
NORTH-WEST,BUKIT BATOK,SGP000131,HEALTH PARTNERS FAMILY CLINIC,1 WEST MALL BUKIT BATOK CENTRAL LINK #01-37,658713,68989031,68989035,"8.30AM-12.30PM,
1.30PM-3.30PM,
6.30PM-9.00PM",8.30AM-12.30PM,9.30AM-1.30PM,CLOSED,REGISTRATION CLOSE 30MINS BEFORE CLOSING TIME.
NORTH-WEST,BUKIT BATOK,SGP000196,LAI MEDICAL CLINIC PTE LTD,BLK 213 BUKIT BATOK STREET 21 #01-209,650213,65632935,65638276,"8.30AM-12.30PM,
2.00PM-4.00PM,
6.30PM-8.30PM (CLOSED ON WED AFTERNOON & NIGHT
AND FRI AFTERNOON)",8.30AM-12.30PM,CLOSED,CLOSED,
