ZONE, AREA, CLINIC CODE, CLINIC, ADDRESS, POSTAL, TEL, FAX, OPERATING HOURS MON - FRI, SAT, SUN, PUBLIC HOLIDAY, REMARKS, LAT, LNG
"JOHOR BAHRU","JOHOR BAHRU","MGP000001","KLINIK MESRA LARKIN","5C-08(A) PUSAT PENGANGKUTAN AWAM LARKIN, JLNGERODA 2","80350","07-2228966","07-2228966","9.00AM-1.00PM,2.00PM-5.00PM,6.00PM-8.00PM","9.00AM-1.00PM,2.00PM-5.00PM,6.00PM-8.00PM","9.00AM-1.00PM","CLOSED","", 1.4957729, 103.7429223
"JOHOR BAHRU","JOHOR BAHRU","MGP000024","KLINIK FEDERAL","34 JALAN HARIMAU TARUM, CENTURY GARDEN","80250","07-3339928","07-3339 928","8.00AM-5.30PM,7.00PM-9.00PM","8.00AM-5.00PM","CLOSED","CLOSED","", 1.4809237, 103.7641247
"JOHOR BAHRU","JOHOR BAHRU","MGP000835","FAMILY HEALTH CLINIC","NO. 23 JALAN AUSTIN HEIGHTS 8/3, TAMAN MOUNTAUSTIN, JOHOR BAHRU","81100","07-3645725","07-3645768","24 HOURS","24-HRS","24-HRS","24-HRS","", 1.5620594, 103.7770634
"JOHOR BAHRU","JOHOR BAHRU","MGP000828","KLINIK FERLIZ","NO. 50G JALAN BESTARI 3/2, TAMAN NUSA BESTARI,SKUDAI, JOHOR","81300","07-2344720","07-2344702","9.00AM-10.00PM(CLOSED ON FRI)","9.00AM-10.00PM","9.00AM-10.00PM","CLOSED","", 1.4911821, 103.6618556
"JOHOR BAHRU","JOHOR BAHRU","MGP000734","KLINIK LAI & SURGERI","72 JALAN INDAH 8/15, TAMAN BUKIT INDAH, JOHORBAHRU","81200","07-2324686","07-2324686","8.30AM-4.30PM,6.00PM-10.30PM(CLOSED ON TUESDAY)","8.30AM-4.30PM,6.00PM-10.30PM","8.30AM-4.30PM,6.00PM-10.30PM","CLOSED","", 1.4771401, 103.6507624
"JOHOR BAHRU","JOHOR BAHRU","MGP000832","KLINIK LALITHA RAJ","NO. 8 DATARAN LARKIN 1, DATARAN LARKIN, JOHORBAHRU, JOHOR","80350","07-2329484","07-2329484","9.00AM-7.00PM(CLOSED ON FRIDAYS)","9.00AM-7.00PM","12.00PM-8.00PM","CLOSED ONSELECTED PUBLICHOLIDAYS","", 1.4976661, 103.7418942
"JOHOR BAHRU","JOHOR BAHRU","MGP000689","KLINIK MEDIVIRON BUKIT INDAH","87 JALAN INDAH 15/2 TAMAN BUKIT INDAH 81200JOHOR BAHRU","81200","07-2369993","07-2369993","9.00AM-9.00PM","9.00AM-9.00PM","CLOSED","9.00AM-9.00PM","", 1.480069, 103.657094
"JOHOR BAHRU","JOHOR BAHRU","MGP000621","KLINIK NG & SURGERI","NO 51/51A JALAN NB 2 2/2, TAMAN NUSA BESTARI 2,SKUDAI","81300","07-5549928","07-5549928","8.30AM-5.00PM,6.00PM-10.30PM","CLOSED","8.30AM-5.00PM,6.00PM-10.30PM","SELECTED PH","", 1.4924534, 103.6582102
"JOHOR BAHRU","JOHOR BAHRU","MGP000255","KLINIK SENTOSA","43 JALAN SULAM, TAMAN SENTOSA","80150","07-3337470","02-07-3348475","9.30AM-1.00PM,2.30PM-5.00PM,7.30PM-9.00PM","9.00AM-5.00PM","9.00AM-5.00PM","CLOSED","", 1.493038, 103.7668173
"JOHOR BAHRU","JOHOR BAHRU","MGP000770","KLINIK TEOH","35 JALAN HARMONIUM 23/12, TAMAN DESA TEBRAU","81100","07-3518985","07-3528984","7.30AM-12.00AM","7.30AM-12.00AM","7.30AM-12.00AM","7.30AM-12.00AM","", 1.554478, 103.797279
"JOHOR BAHRU","JOHOR BAHRU","MGP000222","KLINIK PERLING","262 JALAN SIMBANG, TAMAN PERLING, JOHOR BAHRU","81200","07-2388520","07-2368520","8.30AM-1.00PM,2.30PM-9.30PM","8.30AM-1.00PM,2.30PM-9.30PM","CLOSED","CLOSED","", 1.483975, 103.6801434
"JOHOR BAHRU","JOHOR BAHRU","MGP000006","KLINIK THEESAN (165)","165 JALAN HARIMAU, CENTURY GARDEN","80250","07-3326011","07-3327011","8.30AM-12.30AM","8.30AM-12.00AM","8.30AM-12.00AM","8.30AM-12.00AM","", 1.486415, 103.759962
"JOHOR BAHRU","JOHOR BAHRU","MGP000824","KLINIK SIA DAN SURGERI","NO.123 JALAN PAHLAWAN 1, TAMAN UNGKU TUNAMINAH, SKUDAI, JOHOR","81300","07-5563840","07-5564551","MON-WED & FRI:9.00AM-9.30PM THU:5.30PM-9.30PM","9.00AM-9.30PM","9.00AM-9.30PM","CLOSED","", 1.522012, 103.663499
"JOHOR BAHRU","JOHOR BAHRU","MGP000008","KLINIK THEESAN (18)","No.18 JALAN KEBUDAYAAN 1, TAMAN UNIVERSITI,SKUDAI","81300","07-5206005","07-5206009","8.30AM-10.00PM","8.30AM-10.00PM","8.30AM-10.00PM","8.30AM-10.00PM","", 1.5432381, 103.631101
"JOHOR BAHRU","JOHOR BAHRU","MGP000007","KLINIK THEESAN (75)","75 JALAN DEDAP 6, TAMAN JOHOR JAYA","81100","07-3551150","07-3551153","8.30AM-10.00PM","8.30AM-10.00PM","8.30AM-10.00PM","8.30AM-10.00PM","", 1.5427681, 103.8042102
"JOHOR BAHRU","JOHOR BAHRU","MGP000840","KLINIK SHAKTHI & SURGERI","NO.5 JALAN SETIA TROPIKA 1/28, TAMAN SETIA TROPIKA,KEMPAS, JOHOR BAHRU","81200","07-2442169","07-2320630","9.00AM-1.00PM,2.00PM-9.30PM","9.00AM-1.00PM,2.00PM-9.30PM","9.00AM-1.00PM,2.00PM-5.00PM","9.00AM-1.00PM,2.00PM-5.00PM","", 1.5443936, 103.7116921
"JOHOR BAHRU","JOHOR BAHRU","MGP000623","L & K HEALTHCARE SDN BHD","14 TAMAN BUKIT INDAH JALAN INDAH 16/5","81200","07-2365419","07-2365419","9.00AM-10.00PM","9.00AM-10.00PM","9.00AM-10.00PM","9.00AM-10.00PM","", 1.4813257, 103.6640005
"JOHOR BAHRU","JOHOR BAHRU","MGP000850","MEDISPRING FAMILY POLYCLINIC","NO. 5 JALAN INDAH 25/1, TAMAN BUKIT INDAH 2, JOHORBAHRU","81200","07-2445157","","8.00AM-12.00MN","8.00AM-12.00MN","8.00AM-12.00MN","8.00AM-12.00MN(CLOSED ONCHINESE NEWYEAR & HARI RAYA)","", 1.4686334, 103.651567
"JOHOR BAHRU","JOHOR BAHRU","MGP000411","POLIKLINIK MARIA","12 JALAN DELIMA 311, TAMAN DELIMA","81100","07-3535233","07-3341152","10.00AM-2.00PM3.00PM-6.00PM","10.00AM-2.00PM3.00PM-6.00PM","CLOSED","CLOSED","", 2.0025171, 103.3147827
"JOHOR BAHRU","JOHOR BAHRU","MGP000559","POLIKLINIK JOHN","8 TAMAN SERAYA, KULAI BESAR, KULAI","81000","07-6625710","07-6626710","8.00AM-11.00PM","8.00AM-5.00PM","CLOSED","CLOSED","", 1.6516591, 103.6114455
"JOHOR BAHRU","JOHOR BAHRU","MGP000852","MEDISPRING FAMILY POLYCLINIC","NO.7514 JALAN ENGGANG 19, BANDAR PUTRA,KULAIJAYA, JOHOR","81000","016-7742788","","8.00AM-12.00MN","8.00AM-12.00MN","8.00AM-12.00MN","8.00AM-12.00MN(CLOSED ONCHINESE NEWYEAR & HARI RAYA)","", 1.66011, 103.638652
"JOHOR BAHRU","JOHOR BAHRU","MGP000848","POLIKLINIK LK MEDIC","NO. 1 JALAN KEBUDAYAAN 12, TAMAN UNIVERSITY,SKUDAI, JOHOR BAHRU","81300","07-5205578","","24 HOURS","24-HRS","24-HRS","24-HRS","", 1.543044, 103.6308933
"JOHOR BAHRU","JOHOR BAHRU","MGP000782","POLIKLINIK CHU SDN BHD","6 JALAN KEBUDAYAAN 1, TAMAN UNIVERSITI, SKUDAI,JOHOR","81300","07-5213188","07-5213188","8.00AM-10.00PM(CLOSED ON FRIDAY)","8.00AM-10.00PM","8.00AM-10.00PM","8.00AM-10.00PM","", 1.5428503, 103.6306845
"JOHOR BAHRU","JOHOR BAHRU","MGP000851","POLIKLINIK MEDISPRING","NO. 29 JALAN BUKIT MUTIARA, 21 TAMAN BUKITMUTIARA, JOHOR","81100","07-3001501","","8.00AM-12.00MN","8.00AM-12.00MN","8.00AM-12.00MN","8.00AM-12.00MN(CLOSED ONCHINESE NEWYEAR & HARI RAYA)","", 1.8354289, 102.9465858
"JOHOR BAHRU","JOHOR BAHRU","MGP000841","POLIKLINIK CARRE","NO. 82 JALAN SIERRA PERDANA 4/1, TAMAN SIERRAPERDANA, MASAI, JOHOR","81750","07-3881140","07-3881141","9.00AM-10.00PM","9.00AM-10.00PM","9.00AM-10.00PM","9.00AM-10.00PM(EXCEPTDEEPAVALI)","", 1.4799689, 103.8678527
"JOHOR BAHRU","JOHOR BAHRU","MGP000842","POLIKLINIK KEMPAS INDAH","100 JALAN KEMPAS INDAH 1/1, TAMAN KEMPAS INDAH,JOHOR BAHRU","81300","07-5628415","07-5628415","8.00AM-12.00MN","8.00AM-12.00MN","8.00AM-12.00MN","8.00AM-12.00MN","", 1.5524094, 103.7147865
"JOHOR BAHRU","JOHOR BAHRU","MGP000822","POLIKLINIK CHU","NO 4 JALAN NUSARIA 11/7, TAMAN NUSANTARA,GELANG PATAH, JOHOR","81550","017-8866808","","9.00AM-10.00PM","9.00AM-10.00PM","9.00AM-10.00PM","9.00AM-10.00PM","", 1.4598693, 103.5790137
"JOHOR BAHRU","JOHOR BAHRU","MGP000831","POLYCLINIC HEALTHCARE AND SURGERY","NO. 14 JALAN SERI ORKID 1, TAMAN SERI ORKID, SKUDAI,JOHOR","81300","07-5114090","07-5114090","24 HOURS","24 HOURS","24 HOURS","24 HOURS","", 1.5087319, 103.6380888
"CENTRAL-SOUTH","ALEXANDRA ROAD","SGP000753","ACACIA MEDICAL CLINIC","180 THE INTERLACE DEPOT ROAD #01-07","109684","66840274","66840247","9.00AM-12.00PM,6.00PM-9.00PM","9.00AM-12.00PM","CLOSED","CLOSED","", 1.2817711, 103.802535
"CENTRAL-SOUTH","ALEXANDRA ROAD","SGP000368","TOWN HALL CLINIC (ALEXANDRA)","438A ALEXANDRA TECHNOPARK BLOCK A ALEXANDRAROAD #B1-02","119967","62788088","62728778","8.30AM-12.00PM2.00PM-4.15PM","8.30AM-10.15AM","CLOSED","CLOSED","", 1.2777047, 103.8008548
"CENTRAL-EAST","ALJUNIED","SGP000396","YSL ALJUNIED CLINIC & SURGERY PTE LTD","BLK 5 UPPER ALJUNIED LANE #01-42","360005","63430626","63430625","8.30AM-3.00PM6.30PM-9.00PM","8.30AM-12.30PM","8.30AM-12.30PM","8.30AM-12.30PM","Closed on Christmasand Chinese NewYear's Day", 1.3341284, 103.8795398
"CENTRAL-NORTH","ANG MO KIO","SGP000447","EE CLINIC","BLK 128 ANG MO KIO AVENUE 3 #01-1859","560128","64521042","64521042","8.30AM-12.00PM,2.00PM-4.30PM,7.00PM-9.00PM(CLOSED ON WEDNIGHT)","8.30AM-12.00PM","9.00AM-12.00PM","CLOSED","", 1.3708109, 103.8436139
"JOHOR BAHRU","JOHOR BAHRU","MGP000619","TML POLYCLINIC & SURGERY","19 JALAN HANG TUAH 28, TAMAN SKUDAI BARU,","81300","6075561178","6075591178","9.00AM-12.00PM,2.00PM-5.00PM,7.00PM-9.30PM","9.00AM-1.00PM","7.00PM-9.30PM","SELECTED PH","", 1.5196435, 103.6531257
"JOHOR BAHRU","JOHOR BAHRU","MGP000672","POLIKLINIK NAVIN SDN BHD","NO 9 TAMAN BUKIT INDAH 2 JALAN INDAH 22/14 81200JOHOR BAHRU","81200","07-2328860","07-2328860","9.00AM-11.30PM(CLOSED ON TUE)","9.00AM-11.30PM","9.00AM-11.30PM","CLOSED","", 1.4694481, 103.6540287
"JOHOR BAHRU","JOHOR BAHRU","MGP000829","POLYCLINIC MY FAMILY SDN BHD","NO. 22 JALAN INDAH 8/15, TAMAN BUKIT INDAH, JOHOR","81200","07-2366663","07-2366663","24 HOURS","24HRS","24HRS","24HRS","", 1.4786579, 103.6501074
"CENTRAL-EAST","ALJUNIED","SGP000301","S T MEDICAL CENTRE","BLK 95 ALJUNIED CRESCENT #01-521","380095","67458119","67458119","9.00AM-1.00PM,6.30PM-8.30PM(CLOSED ON TUE &THU NIGHTS)","9.00AM-12.00PM","9.30AM-12.00PM","9.30AM-12.00PM","", 1.3213566, 103.886356
"CENTRAL-NORTH","ANG MO KIO","SGP000076","CHUA MEDICO CLINIC LLP","BLK 529 ANG MO KIO AVENUE 10 #01-2323","560529","64562275","64562275","8.30AM-12.30PM,2.30PM-4.30PM,6.30PM-9.00PM(CLOSED ON FRIDAYNIGHT)","8.30AM-12.30PM","8.30AM-12.30PM","CLOSED","", 1.3726237, 103.8555598
"CENTRAL-NORTH","ANG MO KIO","SGP000006","ANG MO KIO MEDICAL CENTRE","BLK 157 ANG MO KIO AVENUE 4 #01-558","560157","64570273","67528637","8.30AM-12.30PM,2.30PM-6.00PM,7.00PM-9.00PM (ONLYON MON EVENING)FRI: 8.30AM-12.00PM","8.30AM-12.00PM","9.00AM-12.00PM","CLOSED","", 1.3751449, 103.8394227
"CENTRAL-NORTH","ANG MO KIO","SGP000253","MY FAMILY DOCTOR","BLK 330 ANG MO KIO AVENUE 1 #01-1803","560330","65530100","64578406","8.30AM-12.30PM,2.00PM-4.30PM,7.00PM-9.00PM","8.30AM-12.30PM","8.30AM-12.30PM","8.30AM-12.30PM","", 1.3623461, 103.8509977
"CENTRAL-NORTH","ANG MO KIO","SGP000665","HEALTHPATH MEDICAL CLINIC AND SURGERY","BLK 338 ANG MO KIO AVENUE 1 #01-1651","560338","64832556","","8.30AM-12.30PM,2.00PM-5.00PM,6.30PM-9.30PM","8.30AM-12.30PM","8.30AM-12.30PM","CLOSED","", 1.3639516, 103.8485567
"CENTRAL-NORTH","ANG MO KIO","SGP000508","TNG FAMILY CLINIC","BLK 347 ANG MO KIO AVENUE 3 #01-2126","560347","64541203","64541203","8.30AM-12.30PM,2.00PM-4.00PM,6.00PM-9.00PM","8.30AM-12.30PM","8.30AM-12.30PM","CLOSED","", 1.3673529, 103.8485757
"CENTRAL-NORTH","ANG MO KIO","SGP000505","TAN MEDICARE CLINIC PTE LTD","BLK 629 ANG MO KIO AVENUE 4 #01-986","560629","64544211","64534230","8.30AM-12.30PM,2.00PM-4.30PM,7.00PM-9.00PM","8.30AM-12.30PM","8.30AM-12.30PM","CLOSED","", 1.3801306, 103.8398214
"JOHOR BAHRU","JOHOR BAHRU","MGP000769","POLIKLINIK MM FAMILYCARE & SURGERI","NO 5 JALAN MUTIARA 1/2, TAMAN MUTIARA MAS,SKUDAI","81300","07-5590851","07-5590851","8.00AM-11.30PM","8.00AM-11.30PM","8.00AM-11.30PM","8.00AM-11.30PM","", 1.51453, 103.632235
"CENTRAL-NORTH","ANG MO KIO","SGP000240","MHC FAMILY CLINIC (AMK)","BLK 452 ANG MO KIO AVENUE 10 #01-1789","560452","65534050","64525433","8.30AM-12.00PM1.00PM-3.30PM7.00PM-9.00PM","8.30AM-12.00PM7.00PM-9.00PM","CLOSED","","", 1.3689024, 103.8561218
"CENTRAL-NORTH","ANG MO KIO","SGP000325","TAN-TEOH CLINIC & SURGERY (AMK)","BLK 302 ANG MO KIO AVENUE 3 #01-1846","560302","64520818","64525270","8.30AM-12.00PM,2.30PM-4.30PM,7.00PM-9.00PM","9.00AM-12.00PM","9.00AM-12.00PM","CLOSED","", 1.3670438, 103.8456575
"CENTRAL-NORTH","ANG MO KIO","SGP000321","SUMMIT MEDICAL CLINIC","BLK 632 ANG MO KIO AVENUE 4 #01-956","560632","64560060","64532143","8.30AM-12.30PM,1.30PM-3.30PM","8.30AM-12.30PM","CLOSED","CLOSED","", 1.3799619, 103.8414053
"CENTRAL-NORTH","ANG MO KIO","SGP000671","ATRIO FAMILY CLINIC (AMK) PTE LTD","BLK 532 ANG MO KIO AVENUE 10 #01-2461","560532","64554282","64554280","8.00AM-2.00PM,5.30PM-10.30PM","8.00AM-2.00PM","9.00AM-2.00PM","CLOSED","", 1.3737394, 103.8546855
"CENTRAL-NORTH","ANG MO KIO","SGP000392","YIO CHU KANG MRT CLINIC PTE LTD","BLK 635 ANG MO KIO AVENUE 6 #01-5125","560635","64598278","64590891","8.30AM-12.30PM,2.00PM-3.30PM,5.30PM-8.30PM","8.00AM-12.30PM","CLOSED","CLOSED","PATIENTS TO BEREGISTERED 15 MINSBEFORE CLOSING.", 1.3808291, 103.8423606
"CENTRAL-NORTH","ANG MO KIO","SGP000548","FAMILY MEDICARE CLINIC & SURGERY","BLK 721 ANG MO KIO AVENUE 8 #01-2815","560721","64566582","64537065","8.30AM-12.30PM2.00PM-4.30PM7.00PM-8.30PM","8.30AM-12.30PM","CLOSED","CLOSED","", 1.3723503, 103.8479289
"CENTRAL-NORTH","ANG MO KIO","SGP000575","ONEDOCTORS FAMILY CLINIC (AMK)","BLK 710 ANG MO KIO AVENUE 8 #01-2613","560710","65542918","65542718","8.00AM-10.00PM","8.00AM-5.00PM","8.00AM-10.00PM","8.00AM-10.00PM","", 1.371042, 103.84818
"CENTRAL-NORTH","ANG MO KIO","SGP000345","THE CHUNGKIAW FAMILY PRACTICE PTE LTD","17 ANG MO KIO-THYE HUA KWAN HOSPITAL ANG MO KIOAVENUE 9 #01-06","569766","64551009","64550992","MON-FRI: 8.45AM-12.00PM, MON-THURS:2.00PM-4.00PM","8.45AM-12.00PM","8.45AM-12.00PM","CLOSED","", 1.384133, 103.840372
"CENTRAL-NORTH","ANG MO KIO","SGP000005","AMK FAMILY CLINIC PTE LTD","51 ANG MO KIO AVENUE 3 #01-01","569922","64544204","64538327","MON-TUE: 8.30AM-3.00PM, 6.00PM-10.00PM WED:9.00AM-2.00PM,6.00PM-10.00PMTHURS: 9.00AM-2.00PM, 7.00PM-10.00PM FRI: 8.30AM-3.00PM, 7.00PM-10.00PM","9.00AM-12.00PM,2.00PM-5.00PM,6.00PM-10.00 PM","2.00PM-7.00PM","SELECTED","LAST REGISTRATIONHALF HOUR BEFORECLOSING.", 1.3693425, 103.8471686
"EAST","BEDOK","SGP000014","BEDOK CLINIC & SURGERY","BLK 17 BEDOK SOUTH ROAD #01-565","460017","62410943","64420966","9.00AM-12.30PM,2.30PM-4.30PM,7.00PM-9.00PM","9.00AM-12.30PM","9.00AM-12.30PM","CLOSED","", 1.320175, 103.935554
"CENTRAL","BALESTIER","SGP000739","ACCESS MEDICAL (WHAMPOA)","87 WHAMPOA DRIVE #01-869","320087","62521070","67107327","7.00AM-1.00PM,6.00PM-12.00MN","7.00AM-1.00PM,6.00PM-12.00MN","7.00AM-1.00PM,6.00PM-12.00MN","7.00AM-1.00PM,6.00PM-12.00MN","", 1.3250221, 103.8577664
"EAST","BEDOK","SGP000004","ALLIANCE CLINIC & PARTNERS PTE LTD","BLK 652 JALAN TENAGA #01-50","410652","68469585","68423821","8.30AM-12.30PM,2.00PM-4.30PM,7.00PM-9.00PM(CLOSED ON FRIEVENING)","8.30AM-12.30PM","8.30AM-12.30PM","9.00AM-12.00PM","", 1.3325959, 103.907832
"EAST","BEDOK","SGP000165","HONG WHYE CLINIC","BLK 412 BEDOK NORTH AVENUE 2 #01-144","460412","64445355","64416270","9.00AM-12.30PM2.00PM-4.30PM7.00PM-9.00PM","9.00AM-12.30PM2.00PM-4.30PM","9.00AM-12.30PM","9.00AM-12.30PM","", 1.329392, 103.9310795
"CENTRAL-NORTH","ANG MO KIO","SGP000586","FRONTIER MEDICAL ASSOCIATES (AMK)","BLK 163 ANG MO KIO AVENUE 4 #01-426","560163","64532571","64548425","8.30AM-4.30PM,6.30PM-9.30PM(CLOSED ON TUE & FRINIGHT)","8.30AM-1.00PM","8.30AM-1.00PM","CLOSED","IF PH FALLS ON SUN,CLINIC WILL OPEN ONSUN & CLOSE ONFOLLOWING MON.", 1.373834, 103.8382341
"CENTRAL","BALESTIER","SGP000763","PROVIDENCE CLINIC @ BALESTIER","400 BALESTIER PLAZA BALESTIER ROAD #01-45","329802","62550063","62550063","8.30AM-4.00PM,6.00PM-9.00PM(CLOSED ON TUESDAY& FRIDAY EVENINGS)","8.30AM-1.00PM","5.00PM-8.00PM","CLOSED","", 1.3257101, 103.8504087
"CENTRAL-NORTH","ANG MO KIO","SGP000676","BEWELL CLINIC","BLK 5012 ANG MO KIO TECHPLACE II ANG MO KIOAVENUE 5 #01-01","569876","65559038","65559048","8.30AM-12.30PM,2.00PM-4.30PM(CLOSED ON FRIDAYAFTERNOONS)","CLOSED","CLOSED","CLOSED","", 1.3783419, 103.8668556
"CENTRAL-NORTH","ANG MO KIO","SGP000499","ONG MEDICAL CLINIC","BLK 316B ANG MO KIO STREET 31 #01-10","563316","64523586","64559059","8.30AM-12.30PM,2.00PM-4.00PM,7.00PM-9.00PM","8.30AM-12.30PM","8.30AM-12.30PM","8.30AM-12.30PM","", 1.3646478, 103.8476718
"EAST","BEDOK","SGP000199","LEE CLINIC","BLK 123 BEDOK NORTH STREET 2 #01-156","460123","62418827","62414724","9.00AM-12.30PM,2.30PM-5.00PM","9.00AM-12.30PM","9.00AM-12.00PM","9.00AM-12.00PM","", 1.3292053, 103.9373412
"EAST","BEDOK","SGP000015","BEDOK FAMILY CLINIC & SURGERY","BLK 218 BEDOK NORTH STREET 1 #01-17","460218","64410236","64410276","8.00AM-12.45PM,2.00PM-4.45PM,6.00PM-11.45PM","8.00AM-12.45PM,2.00PM-4.45PM,6.00PM-11.45PM","8.00AM-12.45PM,2.00PM-4.45PM,6.00PM-11.45PM","8.00AM-12.45PM,2.00PM-4.45PM,6.00PM-11.45PM","", 1.3273802, 103.9342911
"EAST","BEDOK","SGP000284","FRONTIER PEOPLE'S CLINIC","BLK 123 BEDOK NORTH STREET 2 #01-152","460123","64430261","64453185","8.30AM-12.30PM, 1.30-5.30PM, 6.00PM-9.00PM (CLOSE TUE &FRI EVENINGS)","8.30AM-12.30PM","8.30AM-12.30PM","CLOSED","", 1.3292053, 103.9373412
"CENTRAL-NORTH","ANG MO KIO","SGP000367","TONG CLINIC & SURGERY","BLK 316B ANG MO KIO STREET 31 #01-05","563316","64528311","64528311","8.30AM-12.15PM,2.00PM-4.15PM,7.00PM-8.45PM(CLOSED ON WEDNIGHT)","8.30AM-12.15PM","8.30AM-12.15PM","CLOSED","TEMPORARYCLOSURE FROM 24-28 AUGUST 2016.INCONVENIENCE ISREGRETTED.", 1.3646478, 103.8476718
"EAST","BEDOK","SGP000719","BEDOK DAY & NIGHT CLINIC","BLK 418 BEDOK NORTH AVENUE 2 #01-85","460418","64441104","64441104","MON/TUE/THU:9.00AM-12.30PM,1.30PM-3.30PM,6.30PM-9.30PM WED:9.00AM-12.30PM,6.30PM-9.30PM FRI:9.00AM-12.30PM,6.30PM-8.30PM","9.00AM-12.30PM","9.30AM-12.30PM,6.30PM-8.30PM","9.30AM-12.30PM","", 1.328595, 103.9300227
